Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Fiji,8405245.0,7271139.0,7647762.0,6719380.0,7185519.0,6977250.0,7740079.0,6291435.0,5932831.0,5275815.0,4299065.0,5150338.0,3830826.0,4263994.0,4719022.0,4669829.0,3615318.0,4173663.0,4329694.0,4566563.0,4402603.0,3812044.0,4412940.0,4087040.0
Finland,20989119.0,20376111.0,20997779.0,19853717.0,19858615.0,21287284.0,19862708.0,20016811.0,19531514.0,20149998.0,17541012.0,19060773.0,17865631.0,19286037.0,19379819.0,18279734.0,18252622.0,17854394.0,16325493.0,19141314.0,17835725.0,15894449.0,17642649.0,14259194.0
France,356662544.0,331688532.0,368702034.0,324721290.0,365662730.0,350718363.0,336800775.0,338898031.0,356667885.0,368940843.0,351232304.0,367450457.0,357330693.0,355263565.0,384606594.0,376767218.0,341996111.0,397250203.0,358660480.0,369386566.0,321134296.0,355718780.0,335271041.0,309571963.0
French Guiana,175473.0,196329.0,176764.0,184919.0,191086.0,187252.0,195968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,182652.0,179200.0,197325.0,196743.0,192569.0,210577.0,209391.0,210839.0,204497.0,190861.0,194983.0,199514.0,200400.0,193210.0,194406.0,194814.0,199163.0,201540.0,199549.0,197763.0,198665.0,197114.0,192649.0,167696.0
Gabon,2417391.0,2401371.0,2437317.0,2383236.0,2374965.0,2445812.0,2488740.0,2567548.0,2685631.0,2774395.0,2909595.0,3091251.0,3143421.0,3289000.0,3372005.0,3375384.0,3400859.0,3439192.0,3488038.0,3533760.0,3655683.0,3901471.0,4103371.0,3783768.0
Gambia,862405.0,939376.0,661893.0,855064.0,971541.0,886430.0,925771.0,712757.0,959563.0,1142312.0,1274599.0,837112.0,973272.0,942034.0,821014.0,954704.0,791243.0,655917.0,523458.0,526117.0,547789.0,561425.0,576781.0,600400.0
Georgia,5159484.0,6153558.0,5947268.0,6728146.0,6140928.0,6962701.0,3920737.0,4827944.0,4377523.0,4106790.0,3613798.0,4297228.0,4159843.0,4997634.0,4337483.0,4131006.0,4279230.0,3689828.0,4405066.0,4426817.0,4744076.0,4787282.0,4514176.0,4174510.0
Germany,311378773.0,308313116.0,296741764.0,279108014.0,320376273.0,303128847.0,284737378.0,294941699.0,309340457.0,319649420.0,302643791.0,315078830.0,321268944.0,313701382.0,347860065.0,321565068.0,323779439.0,339403423.0,296200442.0,315492842.0,315487049.0,286595415.0,277901565.0,240862557.0
Ghana,40090299.0,42565681.0,47377028.0,48726251.0,48331818.0,49288390.0,50492108.0,51038061.0,57127404.0,62889371.0,66191573.0,68884240.0,71231161.0,75242239.0,79863052.0,79494094.0,81212420.0,86335047.0,92267022.0,99098017.0,103577053.0,108554218.0,111262903.0,113000289.0
